tradeDate,000300.ZICNodr,000300.ZICN,000300.ZICNwgt,000300.ZICNlever,CASH,CASHwgt,CASHodr,CASHlever,netValue,000300.ZICNnv,000300.ZICNfee,CASHnv,return,RSRSweek,net,RSRSday,return
2007/4/13,-1,-0.002272417,0.333333333,1,0,0.666666667,1,1,0,0.332333333,0.001,0.666666667,,0,0,0,
2007/4/16,,0.027010792,,,0,,,,-0.010150258,0.323234416,,0.666666667,-0.010150258,-0.010150258,-0.002272417,-0.020821488,-0.020821488
2007/4/17,,0.008440933,,,0,,,,-0.013078271,0.320340211,,0.666666667,-0.002928014,-0.013078271,0.024738375,-0.018554224,0.002267264
2007/4/18,,0.006344794,,,0,,,,-0.015301217,0.318148585,,0.666666667,-0.002222946,-0.015301217,0.033179309,-0.02772242,-0.009168196
2007/4/19,,-0.04778749,,,0,,,,0.000984562,0.33431838,,0.666666667,0.016285779,0.000984562,0.039524103,-0.030551973,-0.002829552
2007/4/20,-1,0.043171009,0.333333333,1,0,0.666666667,1,1,-0.013681913,0.328803753,,0.657607506,-0.014666475,-0.013681913,-0.008263386,-0.032675882,-0.002123909
2007/4/23,,0.042276331,,,0,,,,-0.028180749,0.314605118,,0.657607506,-0.014498836,-0.028180749,0.034907623,-0.017241067,0.015434815
2007/4/24,,0.004036931,,,0,,,,-0.029608901,0.313217643,,0.657607506,-0.001428151,-0.029608901,0.077183954,-0.032070601,-0.014829534
2007/4/25,,0.000893598,,,0,,,,-0.029926087,0.312909759,,0.657607506,-0.000317186,-0.029926087,0.081220885,-0.046569437,-0.014498836
2007/4/26,,0.013051442,,,0,,,,-0.034602857,0.30838147,,0.657607506,-0.00467677,-0.034602857,0.082114483,-0.047918711,-0.001349273
2007/4/27,1,-0.00662256,0.333333333,1,0,0.666666667,1,1,-0.032219411,0.321796407,0.000968294,0.645529403,0.002383446,-0.032219411,0.095165926,-0.048216754,-0.000298044
2007/4/30,1,0.025093681,0.333333333,1,0,0.666666667,1,1,-0.024802006,0.325157565,1.01E-05,0.650335358,0.007417404,-0.024802006,0.088543366,-0.044856548,0.003360206
2007/5/8,,0.035151878,,,0,,,,-0.012957499,0.33679073,,0.650335358,0.011844507,-0.012957499,0.113637047,-0.047065515,-0.002208967
2007/5/9,,0.004128708,,,0,,,,-0.011546937,0.338184115,,0.650335358,0.001410562,-0.011546937,0.148788925,-0.038630795,0.00843472
2007/5/10,,0.006256594,,,0,,,,-0.009402075,0.340306629,,0.650335358,0.002144862,-0.009402075,0.152917633,-0.026784273,0.011846522
2007/5/11,1,-0.005897323,0.333333333,1,0,0.666666667,1,1,-0.011424012,0.32953383,1.32E-05,0.659093996,-0.002021937,-0.011424012,0.159174227,-0.025417977,0.001366297
