tradeDate,000300.ZICNodr,000300.ZICN,000300.ZICNwgt,000300.ZICNlever,CASH,CASHwgt,CASHodr,CASHlever,netValue,000300.ZICNnv,CASHnv,return,RSRSWeek,RSRSDay,net,returnDay
2007/4/13,-1,-0.002272417,0.333333333,1,0,0.666666667,1,1,0,0.333333333,0.666666667,,0,0,0,
2007/4/16,,0.027010792,,,0,,,,-0.009168196,0.324207037,0.666666667,-0.009168196,-0.009168196,-0.017816979,-0.002272417,-0.017816979
2007/4/17,,0.008440933,,,0,,,,-0.012102146,0.321304123,0.666666667,-0.00293395,-0.012102146,-0.015549715,0.024738375,0.002267264
2007/4/18,,0.006344794,,,0,,,,-0.014329611,0.319105903,0.666666667,-0.002227464,-0.014329611,-0.024717911,0.033179309,-0.009168196
2007/4/19,,-0.04778749,,,0,,,,0.00198904,0.335324353,0.666666667,0.016318651,0.00198904,-0.027547464,0.039524103,-0.002829552
2007/4/20,-1,0.043171009,0.333333333,1,0,0.666666667,1,1,-0.012707014,0.32912446,0.658248919,-0.014696055,-0.012707014,-0.029671373,-0.008263386,-0.002123909
2007/4/23,,0.042276331,,,0,,,,-0.027205851,0.314911976,0.658248919,-0.014498836,-0.027205851,-0.014236558,0.034907623,0.015434815
2007/4/24,,0.004036931,,,0,,,,-0.028634002,0.313523147,0.658248919,-0.001428151,-0.028634002,-0.029051233,0.077183954,-0.014814675
2007/4/25,,0.000893598,,,0,,,,-0.028951188,0.313214963,0.658248919,-0.000317186,-0.028951188,-0.043550069,0.081220885,-0.014498836
2007/4/26,,0.013051442,,,0,,,,-0.033627958,0.308682257,0.658248919,-0.00467677,-0.033627958,-0.044899342,0.082114483,-0.001349273
2007/4/27,1,-0.00662256,0.333333333,1,0,0.666666667,1,1,-0.031244512,0.323079518,0.646159036,0.002383446,-0.031244512,-0.045197386,0.095165926,-0.000298044
2007/4/30,1,0.025093681,0.333333333,1,0,0.666666667,1,1,-0.022809792,0.325816128,0.651632257,0.00843472,-0.022809792,-0.040827951,0.088543366,0.004369435
2007/5/8,,0.035151878,,,0,,,,-0.010954672,0.337472855,0.651632257,0.011855119,-0.010954672,-0.043030602,0.113637047,-0.00220265
2007/5/9,,0.004128708,,,0,,,,-0.009544082,0.338869062,0.651632257,0.001410591,-0.009544082,-0.034595882,0.148788925,0.00843472
2007/5/10,,0.006256594,,,0,,,,-0.007399176,0.340995874,0.651632257,0.002144906,-0.007399176,-0.022740762,0.152917633,0.011855119
2007/5/11,1,-0.005897323,0.333333333,1,0,0.666666667,1,1,-0.009421154,0.330207695,0.660415391,-0.002021978,-0.009421154,-0.021362631,0.159174227,0.001378131
2007/5/14,,0.008554542,,,0,,,,-0.006561501,0.333044588,0.660415391,0.002859653,-0.006561501,-0.019272748,0.153276904,0.002089884
2007/5/15,,-0.035370614,,,0,,,,-0.018280184,0.321470494,0.660415391,-0.011718683,-0.018280184,-0.02123466,0.161831446,-0.001961913
2007/5/16,,0.026189291,,,0,,,,-0.009630037,0.330000792,0.660415391,0.008650147,-0.009630037,-0.018375007,0.126460832,0.002859653
2007/5/17,,0.020945022,,,0,,,,-0.002602434,0.336985559,0.660415391,0.007027604,-0.002602434,-0.030026754,0.152650122,-0.011651747
2007/5/18,-1,-0.00052414,0.333333333,1,0,0.666666667,1,1,-0.002779491,0.332408123,0.664816246,-0.000177057,-0.002779491,-0.021220562,0.173595144,0.008806193
2007/5/21,,0.014408634,,,0,,,,-0.007628876,0.327583904,0.664816246,-0.004849386,-0.007628876,-0.014190031,0.173071005,0.007030531
2007/5/22,,0.010140402,,,0,,,,-0.011098278,0.324146835,0.664816246,-0.003469401,-0.011098278,-0.014364714,0.187479639,-0.000174683
2007/5/23,,0.017533076,,,0,,,,-0.017209815,0.318121183,0.664816246,-0.006111537,-0.017209815,-0.019214099,0.197620041,-0.004849386
2007/5/24,,-0.004886314,,,0,,,,-0.015492027,0.319811112,0.664816246,0.001717788,-0.015492027,-0.022617214,0.215153117,-0.003403114
2007/5/25,1,0.016572169,0.333333333,1,0,0.666666667,1,1,-0.021364366,0.326287412,0.652574823,-0.005872339,-0.021364366,-0.028530557,0.210266803,-0.005913344
2007/5/28,,0.02167666,,,0,,,,-0.014086479,0.333437447,0.652574823,0.007277887,-0.014086479,-0.026907077,0.226838973,0.00162348
2007/5/29,,0.023229175,,,0,,,,-0.00617059,0.341273585,0.652574823,0.007915889,-0.00617059,-0.02135245,0.248515632,0.005554628
2007/5/30,,-0.070007162,,,0,,,,-0.029661664,0.318199103,0.652574823,-0.023491073,-0.029661664,-0.014074563,0.271744807,0.007277887
2007/5/31,,0.010618944,,,0,,,,-0.026168561,0.321596045,0.652574823,0.003493103,-0.026168561,-0.006271396,0.201737645,0.007803167
2007/6/1,1,-0.032077661,0.333333333,1,0,0.666666667,1,1,-0.036644771,0.321339507,0.642679015,-0.01047621,-0.036644771,-0.029066869,0.212356588,-0.022795473
2007/6/4,,-0.080016639,,,0,,,,-0.062612025,0.296628816,0.642679015,-0.025967254,-0.062612025,-0.018447925,0.180278928,0.010618944
2007/6/5,,0.034483956,,,0,,,,-0.051593152,0.307036163,0.642679015,0.011018873,-0.051593152,-0.050525586,0.100262289,-0.032077661
2007/6/6,,0.01174761,,,0,,,,-0.047780116,0.310664374,0.642679015,0.003813036,-0.047780116,-0.07649284,0.134746245,-0.025967254
2007/6/7,,0.03335122,,,0,,,,-0.036789368,0.321200123,0.642679015,0.010990749,-0.036789368,-0.064865559,0.146493854,0.011627281
2007/6/8,1,0.009311378,0.333333333,1,0,0.666666667,1,1,-0.033676831,0.32229464,0.644589281,0.003112537,-0.033676831,-0.060934335,0.179845074,0.003931224
2007/6/11,,0.024195071,,,0,,,,-0.025546588,0.330187684,0.644589281,0.008130242,-0.025546588,-0.049693219,0.189156452,0.011241117
2007/6/12,,0.02616876,,,0,,,,-0.016605495,0.338942336,0.644589281,0.008941094,-0.016605495,-0.046579783,0.213351524,0.003113436
2007/6/13,,0.020151815,,,0,,,,-0.009614869,0.345841925,0.644589281,0.006990626,-0.009614869,-0.03844954,0.239520284,0.008130242
2007/6/14,,-0.010361219,,,0,,,,-0.013220647,0.342277081,0.644589281,-0.003605778,-0.013220647,-0.047326884,0.259672099,-0.008877344
2007/6/15,-1,0.005763789,0.333333333,1,0,0.666666667,1,1,-0.011217813,0.329614957,0.659229914,0.002002833,-0.011217813,-0.054135421,0.249310881,-0.006808537
2007/6/18,,0.030791617,,,0,,,,-0.021696046,0.319307706,0.659229914,-0.010478233,-0.021696046,-0.050705401,0.25507467,0.00343002
2007/6/19,,0.005997256,,,0,,,,-0.023787806,0.31726298,0.659229914,-0.002091759,-0.023787806,-0.052634071,0.285866287,-0.001928669
2007/6/20,,-0.022686632,,,0,,,,-0.015963104,0.324933717,0.659229914,0.007824702,-0.015963104,-0.063112304,0.291863543,-0.010478233
2007/6/21,,0.009498712,,,0,,,,-0.019210221,0.321743205,0.659229914,-0.003247117,-0.019210221,-0.065119408,0.269176912,-0.002007105
2007/6/22,-1,-0.035366791,0.333333333,1,0,0.666666667,1,1,-0.007326431,0.330900114,0.661800228,0.01188379,-0.007326431,-0.057670148,0.278675624,0.00744926
2007/6/25,,-0.043856079,,,0,,,,0.006875018,0.345098477,0.661800228,0.014201449,0.006875018,-0.060856542,0.243308832,-0.003186394
2007/6/26,,0.012970025,,,0,,,,0.002760508,0.340964094,0.661800228,-0.00411451,0.002760508,-0.049340212,0.199452754,0.01151633
2007/6/27,,0.028179645,,,0,,,,-0.00642592,0.331794454,0.661800228,-0.009186429,-0.00642592,-0.035138763,0.212422779,0.014201449
2007/6/28,,-0.046079807,,,0,,,,0.008420692,0.346656018,0.661800228,0.014846612,0.008420692,-0.039499758,0.240602424,-0.004360995
2007/6/29,-1,-0.024780215,0.333333333,1,0,0.666666667,1,1,0.016040286,0.338723207,0.677446415,0.007619595,0.016040286,-0.049072245,0.194522617,-0.009572486
2007/7/2,,-0.001707052,,,0,,,,0.016608657,0.339300932,0.677446415,0.00056837,0.016608657,-0.034172383,0.169742403,0.014899861
2007/7/3,,0.019650456,,,0,,,,0.009986884,0.332590504,0.677446415,-0.006621773,0.009986884,-0.026046916,0.16803535,0.008125467
2007/7/4,,-0.023404506,,,0,,,,0.017854046,0.340567968,0.677446415,0.007867163,0.017854046,-0.025478545,0.187685806,0.00056837
2007/7/5,,-0.056639071,,,0,,,,0.035911951,0.359118159,0.677446415,0.018057904,0.035911951,-0.032115453,0.1642813,-0.006636908
2007/7/6,-1,0.047704044,1,1,0,0,0,1,0.020793307,1.021010994,0,-0.015118644,0.020793307,-0.024434115,0.107642229,0.007681338
2007/7/9,,0.029483333,,,0,,,,-0.00958577,0.990460027,,-0.030379077,-0.00958577,-0.006245555,0.155346273,0.01818856
2007/7/10,,-0.012026071,,,0,,,,0.003025866,1.003030448,,0.012611636,0.003025866,-0.022666373,0.184829606,-0.016420818
2007/7/11,,0.00376711,,,0,,,,-0.000891326,0.999109071,,-0.003917192,-0.000891326,-0.05304545,0.172803535,-0.030379077
2007/7/12,,0.007112097,,,0,,,,-0.008369593,0.991665334,,-0.007478267,-0.008369593,-0.041162288,0.176570645,0.011883162
2007/7/13,-1,0.000838021,1,1,0,0,0,1,-0.009257979,0.990784744,0,-0.000888386,-0.009257979,-0.044943643,0.183682742,-0.003781355
2007/7/16,,-0.032497815,,,0,,,,0.022216885,1.022465518,,0.031474864,0.022216885,-0.052106684,0.184520763,-0.007163041
