tradeDate,000300.ZICNodr,000300.ZICN,000300.ZICNwgt,000300.ZICNlever,CASH,CASHwgt,CASHodr,CASHlever,netValue,000300.ZICNnv,000300.ZICNfee,CASHnv,return1,,net,RSRS adv0,RSRS adv1,RSRS adv2,RSRS adv3,RSRS adv4,RSRS adv5,RSRS adv6,,,,,return0,return2,return3,return4,return5,return6
2007/4/12,-1,0.017505084,1,1,0,0,0,1,0,0.999,0.001,0,,,0,0,0,0,0,0,0,0,,,,,0,,,,,
2007/4/13,,-0.002272417,,,0,,,,0.001266764,1.001267567,,,0.001266764,,0.017505084,-0.009495443,0.001266764,-0.01881748,-0.00245588,-0.003161051,-0.009495443,0.001266764,,,,,-0.009495443,-0.01881748,-0.00245588,-0.003161051,-0.009495443,0.001266764
2007/4/16,,0.027010792,,,0,,,,-0.02636642,0.973978139,,,-0.027633184,,0.015232667,-0.012427416,-0.02636642,-0.016468795,0.013098865,-0.005307621,-0.012427416,-0.02636642,,,,,-0.002931972,0.002348684,0.015554745,-0.00214657,-0.002931972,-0.027633184
2007/4/17,,0.008440933,,,0,,,,-0.035318567,0.965297855,,,-0.008952147,,0.042243459,-0.014653375,-0.035318567,-0.04510748,-0.000909773,0.010422392,-0.014653375,-0.035318567,,,,,-0.002225959,-0.028638685,-0.014008638,0.015730013,-0.002225959,-0.008952147
2007/4/18,,0.006344794,,,0,,,,-0.042151271,0.958724742,,,-0.006832704,,0.050684392,0.001654326,-0.042151271,-0.054391598,-0.015432545,-0.00374397,0.001654326,-0.042151271,,,,,0.016307701,-0.009284118,-0.014522772,-0.014166361,0.016307701,-0.006832704
2007/4/19,-1,-0.04778749,0.333333333,1,0,0.666666667,1,1,0.007195162,0.33574037,,0.671480739,0.049346433,,0.057029187,-0.013031875,0.007195162,-0.061479762,-0.016863073,-0.01843263,-0.013031875,0.007195162,,,,,-0.014686202,-0.007088163,-0.001430528,-0.01468866,-0.014686202,0.049346433
2007/4/20,,0.043171009,,,0,,,,-0.007619513,0.320928702,,0.671480739,-0.014814675,,0.009241697,-0.027530711,-0.007619513,-0.046044947,-0.017161117,-0.019781903,-0.027530711,-0.007619513,,,,,-0.014498836,0.015434815,-0.000298044,-0.001349273,-0.014498836,-0.014814675
2007/4/23,,0.042276331,,,0,,,,-0.022990613,0.305790918,,0.671480739,-0.0153711,,0.052412707,-0.028958863,-0.022990613,-0.059945659,-0.013127979,-0.020079947,-0.028879985,-0.02211835,,,,,-0.001428151,-0.013900712,0.004033138,-0.000298044,-0.001349273,-0.014498836
2007/4/24,,0.004036931,,,0,,,,-0.024505411,0.304311669,,0.671480739,-0.001514798,,0.094689038,-0.029276049,-0.024505411,-0.074354949,-0.01534838,-0.024473802,-0.029179638,-0.023546501,,,,,-0.000317186,-0.01440929,-0.002220401,-0.004393855,-0.000299653,-0.001428151
2007/4/25,,0.000893598,,,0,,,,-0.024841859,0.303983421,,0.671480739,-0.000336448,,0.098725969,-0.033952819,-0.024841859,-0.07577421,-0.006883237,-0.022234694,-0.033597283,-0.023863687,,,,,-0.00467677,-0.001419261,0.008465143,0.002239108,-0.004417645,-0.000317186
